#️⃣	keycap: #	hash key | keycap | keycap: #	taster: #	taster | taster: #	de	Taste: #	Taste | Taste: #	it	tasto: #	tasto | tasto: #	fr	touches : #	touches | touches : #
*️⃣	keycap: *	keycap | keycap: *	taster: *	taster | taster: *	de	Taste: *	Taste | Taste: *	it	tasto: *	tasto | tasto: *	fr	touches : *	touches | touches : *
0️⃣	keycap: 0	0 | keycap | keycap 0 | keycap: 0 | zero	taster: 0	0 | null | tast | taster | taster: 0	de	Taste: 0	0 | null | Taste | Taste: 0	it	tasto: 0	0 | tasto | tasto: 0 | zero	fr	touches : 0	0 | touches | touches : 0 | zéro
1️⃣	keycap: 1	1 | keycap | keycap 1 | keycap: 1 | one	taster: 1	1 | tast | taster | taster: 1 | én	de	Taste: 1	1 | eins | Taste | Taste: 1	it	tasto: 1	1 | tasto | tasto: 1 | uno	fr	touches : 1	1 | touches | touches : 1 | un
2️⃣	keycap: 2	2 | keycap | keycap 2 | keycap: 2 | two	taster: 2	2 | tast | taster | taster: 2 | to	de	Taste: 2	2 | Taste | Taste: 2 | zwei	it	tasto: 2	2 | due | tasto | tasto: 2	fr	touches : 2	2 | deux | touches | touches : 2
3️⃣	keycap: 3	3 | keycap | keycap 3 | keycap: 3 | three	taster: 3	3 | tast | taster | taster: 3 | tre	de	Taste: 3	3 | drei | Taste | Taste: 3	it	tasto: 3	3 | tasto | tasto: 3 | tre	fr	touches : 3	3 | touches | touches : 3 | trois
4️⃣	keycap: 4	4 | four | keycap | keycap 4 | keycap: 4	taster: 4	4 | fire | tast | taster | taster: 4	de	Taste: 4	4 | Taste | Taste: 4 | vier	it	tasto: 4	4 | quattro | tasto | tasto: 4	fr	touches : 4	4 | quatre | touches | touches : 4
5️⃣	keycap: 5	5 | five | keycap | keycap 5 | keycap: 5	taster: 5	5 | fem | tast | taster | taster: 5	de	Taste: 5	5 | fünf | Taste | Taste: 5	it	tasto: 5	5 | cinque | tasto | tasto: 5	fr	touches : 5	5 | cinq | touches | touches : 5
6️⃣	keycap: 6	6 | keycap | keycap 6 | keycap: 6 | six	taster: 6	6 | seks | tast | taster | taster: 6	de	Taste: 6	6 | sechs | Taste | Taste: 6	it	tasto: 6	6 | sei | tasto | tasto: 6	fr	touches : 6	6 | six | touches | touches : 6
7️⃣	keycap: 7	7 | keycap | keycap 7 | keycap: 7 | seven	taster: 7	7 | sju | syv | tast | taster | taster: 7	de	Taste: 7	7 | sieben | Taste | Taste: 7	it	tasto: 7	7 | sette | tasto | tasto: 7	fr	touches : 7	7 | sept | touches | touches : 7
8️⃣	keycap: 8	8 | eight | keycap | keycap 8 | keycap: 8	taster: 8	8 | tast | taster | taster: 8 | åtte	de	Taste: 8	8 | acht | Taste | Taste: 8	it	tasto: 8	8 | otto | tasto | tasto: 8	fr	touches : 8	8 | huit | touches | touches : 8
9️⃣	keycap: 9	9 | keycap | keycap 9 | keycap: 9 | nine	taster: 9	9 | ni | tast | taster | taster: 9	de	Taste: 9	9 | neun | Taste | Taste: 9	it	tasto: 9	9 | nove | tasto | tasto: 9	fr	touches : 9	9 | neuf | touches | touches : 9
©️	copyright	C | copyright | copyright sign	opphavsrett	copyright | opphavsrett	de	Copyright	C | Copyright	it	copyright	copyright	fr	symbole copyright	c | copyright | droits d’auteur | propriété intellectuelle | symbole Copyright | symbole copyright | ©
®️	registered	R | registered | registered sign	registrert varemerke	r | registrert varemerke | varemerkesymbol	de	Registered-Trademark	Markenzeichen | R | Registered-Trademark	it	marchio registrato	marchio registrato | marchio registrato cerchiato	fr	marque déposée	marque commerciale | marque déposée | r | ®
🀄	mahjong red dragon	dragon | game | mahjong | mahjong red dragon | mahjong tile red dragon | red	mahjongbrikke med rød drage	mahjong | mahjongbrikke med rød drage | rød | spill	de	Mahjong-Stein	Mahjong | Mahjong-Stein | roter Drache | Spiel	it	tessera Mahjong	drago | drago rosso | Mahjong | tessera | tessera Mahjong	fr	dragon rouge mahjong	dragon rouge mahjong | jeu | mah-jong | mahjong | rouge
🃏	joker	card | game | joker | playing card black joker | wildcard	joker	joker | jokerkort | kort | spillkort	de	Jokerkarte	Joker | Jokerkarte | Spielkarte	it	jolly	carta | carta da gioco | gioco | Joker | jolly	fr	carte Joker	carte Joker | cartes à jouer | jeu | Joker
🅰️	A button (blood type)	A button (blood type) | blood | button | negative squared latin capital letter a | type	A-knapp (blodtype)	A | A-knapp (blodtype) | blod | blodtype | type A	de	Großbuchstabe A in rotem Quadrat	a | Blut | Blutgruppe | Großbuchstabe | Großbuchstabe A in rotem Quadrat | negativ | positiv	it	gruppo sanguigno A	A | gruppo A | gruppo sanguigno A | lettera A | sangue	fr	groupe sanguin A	A | groupe sanguin | groupe sanguin A
